;timestamp;ORCHIDS;TRANSPORT_FEES;EXPORT_TARIFF;IMPORT_TARIFF;SUNLIGHT;HUMIDITY;DAY;Humidity_Penalty;cumulative_sunlight;penalty;Sunlight_Penalty;Total_Penalty;Adjusted_Orchid_Production
0;0;1200.0;1.5;10.5;-2.0;2500.0;79.0;-1;0.0;2500.0;18.675;18.675;18.675;-17.675
1;100;1201.75;1.5;9.5;-2.0;2499.4197;79.0041;-1;0.0;4999.4197;18.650005803000003;18.650005803000003;18.650005803000003;-17.650005803000003
2;200;1201.75;1.5;9.5;-2.0;2498.8457;79.00821;-1;0.0;7498.2654;18.625017346000003;18.625017346000003;18.625017346000003;-17.625017346000003
3;300;1201.75;1.5;9.5;-2.0;2498.278;79.01234;-1;0.0;9996.543399999999;18.600034566;18.600034566;18.600034566;-17.600034566
4;400;1201.75;1.5;9.5;-2.0;2497.7166;79.01649;-1;0.0;12494.26;18.575057400000002;18.575057400000002;18.575057400000002;-17.575057400000002
5;500;1200.25;1.5;9.5;-2.0;2497.1614;79.02066;-1;0.0;14991.4214;18.550085786;18.550085786;18.550085786;-17.550085786
6;600;1201.75;1.5;9.5;-2.0;2496.6125;79.02485;-1;0.0;17488.0339;18.525119661;18.525119661;18.525119661;-17.525119661
7;700;1202.75;1.5;9.5;-2.0;2496.0698;79.02906;-1;0.0;19984.1037;18.500158963;18.500158963;18.500158963;-17.500158963
8;800;1204.75;1.5;9.5;-2.0;2495.5334;79.03329;-1;0.0;22479.6371;18.475203629000003;18.475203629000003;18.475203629000003;-17.475203629000003
9;900;1204.25;1.5;9.5;-2.0;2495.0032;79.03754;-1;0.0;24974.6403;18.450253597;18.450253597;18.450253597;-17.450253597
10;1000;1203.25;1.5;9.5;-2.0;2494.4792;79.04181;-1;0.0;27469.1195;18.425308805;18.425308805;18.425308805;-17.425308805
11;1100;1202.75;1.5;9.5;-2.0;2493.9614;79.0461;-1;0.0;29963.0809;18.400369191000003;18.400369191000003;18.400369191000003;-17.400369191000003
12;1200;1201.75;1.5;9.5;-2.0;2493.45;79.0504;-1;0.0;32456.5309;18.375434691000002;18.375434691000002;18.375434691000002;-17.375434691000002
13;1300;1199.75;1.5;9.5;-2.0;2492.9446;79.054726;-1;0.0;34949.4755;18.350505245;18.350505245;18.350505245;-17.350505245
14;1400;1199.75;1.5;9.5;-2.0;2492.4453;79.05907;-1;0.0;37441.9208;18.325580792;18.325580792;18.325580792;-17.325580792
15;1500;1199.75;1.5;9.5;-2.0;2491.9521;79.06343;-1;0.0;39933.8729;18.300661271;18.300661271;18.300661271;-17.300661271
16;1600;1199.75;1.5;9.5;-2.0;2491.4653;79.06782;-1;0.0;42425.3382;18.275746618;18.275746618;18.275746618;-17.275746618
17;1700;1198.25;1.5;9.5;-2.0;2490.9846;79.07222;-1;0.0;44916.3228;18.250836772000003;18.250836772000003;18.250836772000003;-17.250836772000003
18;1800;1199.25;1.5;9.5;-2.0;2490.51;79.07664;-1;0.0;47406.8328;18.225931672;18.225931672;18.225931672;-17.225931672
19;1900;1197.75;1.5;9.5;-2.0;2490.0415;79.08108;-1;0.0;49896.874299999996;18.201031257;18.201031257;18.201031257;-17.201031257
20;2000;1197.75;1.5;9.5;-2.0;2489.579;79.08554;-1;0.0;52386.4533;18.176135467;18.176135467;18.176135467;-17.176135467
